City,State,Population
Compton, California,"96,348"
Flint, Michigan,"95,926"
Erie, Pennsylvania,"96,298"
New Bedford, Massachusetts,"95,371"
Fishers, Indiana,"93,407"
Sunrise, Florida,"95,219"
Roswell, Georgia,"94,665"
Menifee, California,"92,249"
Tracy, California,"91,818"
Plantation, Florida,"94,019"
Quincy, Massachusetts,"94,403"
Portsmouth, Virginia,"94,750"
Mission Viejo, California,"94,925"
Chino, California,"91,356"
Lynn, Massachusetts,"94,336"
Edmond, Oklahoma,"92,893"
Dearborn, Michigan,"94,379"
Livonia, Michigan,"94,019"
Yakima, Washington,"93,548"
South Gate, California,"94,135"
Greenville, North Carolina,"92,689"
Lawton, Oklahoma,"92,945"
Kirkland, Washington,"89,909"
Asheville, North Carolina,"92,630"
Deltona, Florida,"91,718"
Redding, California,"91,606"
Bellingham, Washington,"90,464"
Suffolk, Virginia,"90,975"
Indio, California,"90,970"
Mount Pleasant, South Carolina,"89,869"
Carson, California,"91,626"
Santa Barbara, California,"91,203"
Conroe, Texas,"87,578"
Westminster, California,"90,742"
Santa Monica, California,"91,106"
New Braunfels, Texas,"84,495"
Livermore, California,"90,253"
Palm Coast, Florida,"87,660"
St. George, Utah,"87,113"
Fall River, Massachusetts,"89,630"
Nashua, New Hampshire,"88,871"
Champaign, Illinois,"87,994"
Miami Beach, Florida,"89,808"
Norwalk, Connecticut,"89,061"
San Leandro, California,"89,713"
O'Fallon, Missouri,"88,364"
Newton, Massachusetts,"88,641"
Reading, Pennsylvania,"88,542"
Avondale, Arizona,"85,715"
Fort Smith, Arkansas,"87,720"
Citrus Heights, California,"87,707"
Ogden, Utah,"87,202"
Fayetteville, Arkansas,"86,615"
Fort Myers, Florida,"82,229"
Goodyear, Arizona,"82,873"
Bryan, Texas,"84,817"
Waukegan, Illinois,"86,680"
Hawthorne, California,"86,671"
Redwood City, California,"86,105"
Hoover, Alabama,"85,517"
Bloomington, Indiana,"85,139"
Duluth, Minnesota,"85,856"
Lake Forest, California,"85,381"
Hemet, California,"85,148"
Whittier, California,"85,791"
Clifton, New Jersey,"85,251"
Largo, Florida,"84,937"
Bloomington, Minnesota,"85,474"
Danbury, Connecticut,"84,675"
Santa Fe, New Mexico,"84,211"
Johns Creek, Georgia,"84,320"
Newport Beach, California,"85,074"
Kennewick, Washington,"82,696"
Mission, Texas,"83,958"
Milpitas, California,"80,208"
